City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,tiksi,71.69,128.87,-27.92,91,48,4.65,RU,1581532377
157,calabozo,8.92,-67.43,98.28,28,0,7.94,VE,1581532379
158,upernavik,72.79,-56.15,-12.12,99,94,3.4,GL,1581532381
159,kalabo,-14.97,22.68,71.78,85,72,6.64,ZM,1581532383
160,bay roberts,47.6,-53.26,30.0,92,90,27.51,CA,1581532129
161,port elizabeth,-33.92,25.57,71.6,78,0,20.8,ZA,1581532387
162,penzance,50.12,-5.54,48.99,93,75,11.41,GB,1581532160
163,dire dawa,9.59,41.87,58.57,95,100,6.06,ET,1581532391
164,katsuura,35.13,140.3,57.99,71,75,14.99,JP,1581532393
165,sao gabriel da cachoeira,-0.13,-67.09,93.2,59,40,5.82,BR,1581532395
166,saint-louis,16.33,-15.0,96.8,22,0,2.24,SN,1581532397
167,maniitsoq,65.42,-52.9,10.33,58,95,12.53,GL,1581532399
168,raytown,39.01,-94.46,35.01,86,100,4.7,US,1581532401
169,grindavik,63.84,-22.43,28.4,86,75,3.36,IS,1581532403
170,saskylakh,71.92,114.08,-20.09,86,83,8.52,RU,1581532405
171,thinadhoo,0.53,72.93,83.52,76,100,10.42,MV,1581532407
172,beavercreek,39.71,-84.06,37.99,64,90,7.16,US,1581532395
173,santa maria,-29.68,-53.81,84.2,58,40,11.41,BR,1581532411
174,jamestown,42.1,-79.24,37.4,78,1,14.99,US,1581532414
175,ribeira grande,38.52,-28.7,64.4,72,40,18.34,PT,1581532322
176,luoyang,34.68,112.45,48.92,86,0,2.08,CN,1581532418
177,henties bay,-22.12,14.28,68.0,83,0,3.0,NA,1581532420
178,cam ranh,11.92,109.16,75.2,88,20,3.36,VN,1581532422
179,lasa,46.62,10.7,44.6,54,40,3.36,IT,1581532424
180,wodonga,-36.12,146.88,73.4,69,67,3.36,AU,1581532243
181,airai,-8.93,125.41,67.37,89,100,4.68,TL,1581532428
182,kununurra,-15.77,128.73,80.6,88,95,8.05,AU,1581532430
183,toktogul,41.87,72.94,25.72,65,100,1.9,KG,1581532432
184,talcahuano,-36.72,-73.12,69.8,52,40,19.46,CL,1581532434
185,sokolo,14.73,-6.12,90.79,8,0,9.4,ML,1581532436
